AUTH_ID,ACCT_ID_TOKEN,ACCT_PROD_CD,ACCT_AVL_CASH_BEFORE_AMT,ACCT_AVL_MONEY_BEFORE_AMT,ACCT_CL_AMT,ACCT_CURR_BAL,APPRD_AUTHZN_CNT,APPRD_CASH_AUTHZN_CNT,AUTHZN_AMT,AUTHZN_OUTSTD_AMT,AVG_DLY_AUTHZN_AMT,AUTHZN_OUTSTD_CASH_AMT,CDHLDR_PRES_CD,HOTEL_STAY_CAR_RENTL_DUR,LAST_ADR_CHNG_DUR,HOME_PHN_NUM_CHNG_DUR,PLSTC_ISU_DUR,POS_COND_CD,POS_ENTRY_MTHD_CD,DISTANCE_FROM_HOME,FRD_IND
79385081,32862160,10.0,11500.0,20153.38,23000,2647.55,2,0,10.33,209.4,51,0.0,0.0,0,779,0,18,0,90,10.486238499999999,0
79396711,16728160,12.0,2500.0,2639.33,5000,2200.72,3,0,12.44,172.39,22,0.0,0.0,0,999,577,781,0,90,0.0,0
79419530,23532208,12.0,2500.0,4697.33,5000,302.67,1,0,5.27,5.27,4,0.0,0.0,0,999,0,999,0,90,0.6907968000000001,0
79430863,64586778,12.0,15000.0,29898.62,30000,101.38,0,0,13.0,0.0,0,0.0,3.0,0,294,0,181,8,1,0.0,0
79442434,74706689,21.0,300.0,300.0,300,0.0,0,0,18.27,0.0,0,0.0,2.0,0,0,0,110,8,1,1.5418681,0
79454068,27106495,21.0,4500.0,1318.73,4500,3161.29,3,0,5.42,25.4,26,0.0,0.0,0,0,0,226,0,90,6.6110845000000005,0
79465547,13333223,23.0,5000.0,3021.76,5000,1848.65,2,0,1.0,130.59,10,0.0,0.0,0,0,999,247,0,90,0.0,0
79477090,82719900,21.0,500.0,387.46,500,111.54,0,0,1.0,0.0,11,0.0,0.0,0,0,0,15,6,90,16.567137,0
79500002,47069455,21.0,1250.0,1137.29,1250,29.0,2,0,122.87,206.58,5,0.0,0.0,0,0,0,889,0,90,3.238867,0
79511417,84933905,14.0,253.78,641.83,2000,1281.87,2,0,8.99,85.29,36,0.0,0.0,0,0,0,81,0,90,0.0,0
79534391,58187506,21.0,250.0,43.81,750,706.19,1,0,16.98,16.98,2,0.0,0.0,0,0,0,427,0,90,4.0147330000000006,0
79545758,35341905,11.0,1500.0,19.28,3000,2980.72,1,0,11.98,11.98,2,0.0,0.0,0,0,999,526,0,90,0.0,0
79557397,39898364,22.0,300.0,475.76,500,0.0,0,0,102.95,24.24,3,0.0,0.0,0,0,0,243,0,90,0.0,0
79568672,39087,20.0,3500.0,2142.63,3500,1197.94,1,0,14.0,204.79,5,0.0,0.0,0,833,0,943,0,90,4.005269,0
79579475,68607690,22.0,500.0,0.0,500,626.59,0,0,244.95,0.0,0,0.0,1.0,0,0,0,396,8,1,8.8605585,0
79590938,52518889,22.0,300.0,144.78,500,10.66,3,0,1.62,346.18,7,0.0,0.0,0,150,0,577,0,90,73.7446,0
79602366,71568533,22.0,500.0,11.63,500,488.37,0,0,15.95,0.0,0,0.0,4.0,0,0,0,146,8,81,1992.526,0
79613829,77713695,21.0,3000.0,1619.18,3000,1376.15,2,0,79.47,84.14,37,0.0,0.0,0,0,0,99,0,90,11.5685835,0
79625082,9206762,25.0,550.0,550.0,550,0.0,1,0,7.99,7.99,0,0.0,4.0,0,778,0,416,8,1,2436.0903,0
79902825,25027715,21.0,3000.0,2180.1,3500,1319.9,1,0,1.0,1.0,10,0.0,0.0,0,0,0,657,0,90,0.0,0
79925501,3562246,21.0,2800.0,2232.61,2800,567.39,1,0,1.0,1.0,9,0.0,0.0,0,999,999,313,52,90,15.554354,0
79936834,71101200,21.0,250.0,387.7,750,268.3,1,0,29.02,133.79,53,0.0,0.0,0,0,0,260,0,90,0.0,0
79948201,41976783,21.0,2250.0,397.46,2250,1831.29,3,0,14.97,36.22,19,0.0,0.0,0,29,29,449,0,90,0.0,0
79959753,61379178,40.0,100.0,126.26,400,193.74,2,0,9.71,89.71,7,0.0,0.0,0,0,0,142,0,90,2.576245,0
79971221,79286122,22.0,150.0,203.38,300,96.62,1,0,1.0,1.0,1,0.0,5.0,0,0,0,117,8,81,372.93927,0
79982830,84379739,21.0,500.0,139.74,1000,732.76,1,0,75.92,210.97,0,0.0,5.0,0,0,0,23,8,81,2428.219,0
79994355,11543936,21.0,4000.0,1224.05,4000,2680.07,3,0,12.36,108.24,11,0.0,0.0,0,999,999,448,0,90,1.1414663999999999,0
80005725,41124916,1.0,250.0,0.0,750,784.46,0,0,200.0,0.0,0,0.0,2.0,0,686,0,117,8,1,2412.6243,0
80017394,39358392,21.0,545.36,207.43,1250,1031.77,2,0,58.19,68.99,68,0.0,0.0,0,0,0,113,0,90,4.6695743,0
80029005,72716001,21.0,300.0,307.66,500,192.34,1,0,5.24,5.24,6,0.0,0.0,0,0,0,235,0,90,11.2782955,0
80040436,30192884,21.0,4100.0,171.11,4100,3927.89,0,0,1.0,0.0,0,0.0,0.0,0,0,0,215,6,90,5.9886029999999995,0
80051675,16694298,21.0,7500.0,5029.24,7500,2345.92,3,0,31.49,156.33,34,0.0,0.0,0,999,0,612,0,90,3.4931242,0
80074678,28601551,21.0,150.0,40.71,500,378.3,4,0,43.0,80.99,4,0.0,0.0,0,567,582,884,0,90,34.678032,0
80086024,74055488,21.0,150.0,230.67,500,262.66,1,0,105.42,112.09,3,0.0,0.0,0,0,0,165,0,90,6.608451400000001,0
80097344,18480564,24.0,2000.0,1924.9,2000,75.1,1,0,1.0,1.0,6,0.0,0.0,0,999,0,299,52,90,5.850251,0
80108735,15009574,20.0,600.0,600.0,600,-0.01,0,0,1.0,0.0,1,0.0,0.0,0,148,4,999,0,90,29.685672999999998,0
80120314,32347640,24.0,3000.0,162.22,3000,2837.78,1,0,59.92,59.92,0,0.0,5.0,0,0,0,728,8,81,531.9073,0
80131686,81914152,21.0,150.0,3.84,300,296.16,0,0,4.99,0.0,1,0.0,4.0,0,0,0,38,8,81,2152.4995,0
80143106,88602029,56.0,300.0,1.25,300,298.75,0,0,6.73,0.0,0,0.0,0.0,0,318,0,0,0,90,81.55938,0
80154331,66104043,21.0,150.0,197.75,500,211.39,0,0,1.0,89.86,0,0.0,0.0,0,0,0,473,6,90,2.9166262,0
81226111,48980626,15.0,2500.0,3560.07,5000,1281.1,1,0,32.48,191.31,37,0.0,0.0,0,0,489,487,0,90,4.011607,0
81237722,15981991,20.0,3469.74,19.04,4000,3980.96,1,0,16.46,16.46,4,0.0,0.0,0,999,999,815,0,90,2.2790685,0
81249163,28642147,21.0,1500.0,734.25,3000,2265.75,0,0,126.0,0.0,1,0.0,0.0,0,0,0,37,0,90,58.435196,0
81260546,18434234,12.0,2500.0,950.66,5000,3998.17,2,0,40.33,91.5,63,0.0,0.0,0,17,54,263,0,90,10.593625999999999,0
81272030,21426951,1.0,3500.0,6687.28,7000,312.72,1,0,560.13,560.13,26,0.0,0.0,0,0,0,43,0,90,8.6888,0
81283361,7079404,21.0,4500.0,1348.21,4500,3043.17,2,0,36.12,144.74,11,0.0,0.0,0,999,999,336,0,90,3.060393,0
81294858,20674639,21.0,2000.0,1068.6,2000,914.14,2,0,11.58,28.84,4,0.0,0.0,0,999,0,31,0,90,602.9648,0
81306151,3326273,11.0,2680.0,3429.99,5000,1239.91,3,0,1.4,331.5,0,0.0,5.0,0,999,0,50,8,81,1601.2160000000001,0
81317493,28983843,21.0,2000.0,1108.39,2500,1391.61,1,0,114.42,114.42,0,0.0,1.0,0,999,0,283,1,1,144.46225,0
81329102,53725818,21.0,9.62,497.08,750,250.93,0,0,1.99,0.0,0,0.0,5.0,0,0,0,196,8,81,948.9233,0
81340651,28130747,15.0,2500.0,7253.68,10000,2678.73,1,0,9.97,114.25,29,0.0,0.0,0,0,0,771,0,90,0.0,0
81352191,3398196,11.0,4400.0,21833.28,22000,166.72,1,0,40.62,40.62,0,0.0,2.0,0,0,0,418,8,1,1115.8678,0
81363796,87995676,56.0,0.0,0.0,300,977.6,0,0,1.0,0.0,0,0.0,0.0,0,0,0,8,0,1,336.9369,0
81375078,89157229,56.0,400.0,28.67,400,357.74,2,0,27.05,40.64,8,0.0,5.0,0,427,0,5,8,81,993.1148699999999,0
81386770,22600938,21.0,500.0,0.0,500,509.25,0,0,0.99,0.0,0,0.0,5.0,0,617,999,616,8,81,285.91107,0
81398267,75731259,40.0,100.0,182.18,300,117.82,1,0,54.48,54.48,11,0.0,0.0,0,0,0,230,0,90,0.0,0
81409507,74672698,12.0,2500.0,4861.78,5000,31.3,3,0,5.7,112.62,103,0.0,0.0,0,0,0,7,0,90,2.3070169999999997,0
81421077,74374496,12.0,7500.0,10514.4,15000,4241.61,3,0,9.17,253.16,114,0.0,0.0,0,0,0,44,0,90,0.0,0
81432371,63352684,1.0,7500.0,6627.02,30000,21017.96,1,0,1990.88,4345.9,0,0.0,0.0,0,0,0,465,0,1,18.68139,0
81443821,17647778,1.0,750.0,100.42,1000,358.83,1,0,6.51,547.26,53,0.0,0.0,0,999,0,148,0,90,3.7862785000000003,0
81455304,38118358,21.0,250.0,675.0,750,75.0,1,0,6.0,6.0,3,0.0,5.0,0,0,0,91,8,81,1760.6028,0
81467077,89061217,56.0,300.0,0.41,300,299.59,0,0,1.99,0.0,0,0.0,5.0,0,0,0,0,8,81,2450.459,0
81478670,32765417,21.0,300.0,124.26,750,625.74,1,0,5.0,5.0,0,0.0,5.0,0,999,999,668,8,81,725.6163,0
81490219,17922177,20.0,5000.0,3845.86,5000,1154.14,1,0,12.83,12.83,0,0.0,2.0,0,999,0,431,8,1,2511.7898,0
82042854,46828293,15.0,1500.0,2467.61,3000,531.39,2,0,240.0,241.0,1,0.0,5.0,0,0,0,746,8,81,183.5902,0
82054199,89645485,258.0,100.0,2.38,400,388.83,0,0,1.0,7.79,2,0.0,0.0,0,999,0,2,0,1,887.3909,0
82065598,25604794,22.0,2250.0,129.08,2250,2120.92,1,0,5.88,5.88,1,0.0,0.0,0,602,999,786,0,90,198.21075,0
82077004,49515929,12.0,3750.0,4721.46,7500,2093.62,2,0,47.14,732.06,36,0.0,0.0,0,0,0,41,0,90,7.636317699999999,0
82088555,61149201,21.0,375.0,663.97,1250,512.72,1,0,19.05,92.36,0,0.0,1.0,0,364,0,254,8,1,0.0,0
82100052,37056826,21.0,2250.0,979.24,2250,1270.76,1,0,75.1,75.1,2,0.0,0.0,0,0,0,143,0,90,17.77553,0
82111652,45948727,21.0,300.0,416.5,500,8.71,0,0,1.0,73.79,0,0.0,0.0,0,0,0,851,6,90,14.089416,0
82123054,76907765,40.0,101.0,192.72,201,8.28,1,0,13.08,13.08,3,0.0,0.0,0,0,0,74,0,90,6.5963210000000005,0
82134506,28007955,22.0,4500.0,3900.84,4500,544.53,1,0,64.76,119.39,18,0.0,0.0,0,0,0,540,0,90,6.799023599999999,0
82145922,18893452,21.0,1500.0,103.97,1500,1394.03,0,0,2.0,0.0,0,0.0,5.0,0,999,428,204,8,81,9.144305000000001,0
82157353,72653230,40.0,100.0,3.7,200,196.3,1,0,58.01,58.01,0,0.0,0.0,0,0,0,206,6,90,18.968044,0
82168801,43877809,21.0,300.0,269.58,300,25.25,1,0,3.3,70.62,2,0.0,0.0,0,59,0,398,0,90,63.01191,0
82180361,88431529,56.0,900.0,0.0,900,908.01,0,0,7.99,0.0,0,0.0,5.0,0,343,0,0,8,81,748.797,0
82191819,52833837,14.0,1500.0,3311.21,3500,23.7,5,0,9.0,174.09,32,0.0,0.0,0,0,0,710,0,90,15.573255,0
82203277,49695647,10.0,2500.0,3498.97,5000,1410.65,2,0,1.0,91.38,15,0.0,0.0,0,0,0,266,52,90,2.2296436,0
82214729,85460177,22.0,150.0,3.39,300,296.61,1,0,2.68,2.68,14,0.0,0.0,0,0,0,50,0,90,0.0,0
82237703,32146874,21.0,2000.0,1883.12,2000,116.88,1,0,1.0,1.0,4,0.0,0.0,0,294,294,385,52,90,1351.3337,0
82249288,81194308,21.0,3000.0,2757.93,3000,217.38,1,0,16.15,52.68,15,0.0,0.0,0,0,0,14,0,90,2.2623648999999997,0
82260694,11961879,20.0,5000.0,4817.56,5000,182.44,1,0,1.51,1.51,1,0.0,0.0,0,999,0,967,0,90,1756.1984,0
82271937,64831819,21.0,248.28,-45.68,750,881.02,0,0,37.26,45.68,2,0.0,1.0,0,293,56,55,8,1,1636.5817,0
82283450,58540894,22.0,300.0,500.0,500,0.0,1,0,17.99,17.99,4,0.0,0.0,0,0,0,571,0,90,405.89867999999996,0
83090293,43883331,21.0,300.0,52.79,500,415.2,1,0,28.4,60.41,31,0.0,0.0,0,0,0,6,0,90,0.0,0
83101680,34027973,22.0,500.0,900.96,1000,56.54,4,0,14.11,56.61,4,0.0,0.0,0,0,997,534,0,90,5.19324,0
83113130,82956472,21.0,1000.0,741.91,1000,258.09,1,0,30.85,30.85,5,0.0,0.0,0,0,0,79,0,90,4.544391,0
83124601,42841234,14.0,250.0,153.15,750,494.95,1,0,1.0,102.9,8,0.0,0.0,0,0,0,113,52,90,0.0,0
83135917,29145379,1.0,500.0,135.78,500,191.93,4,0,29.15,201.44,18,0.0,0.0,0,778,0,150,0,90,602.7405,0
83147303,9683245,10.0,5000.0,9329.97,10000,670.03,1,0,13.0,13.0,0,0.0,2.0,0,444,497,121,8,1,0.0,0
83158812,60228367,12.0,1500.0,1251.23,3000,1720.14,0,0,1.0,27.63,2,0.0,0.0,0,0,0,431,6,90,12.561053,0
83170346,20902223,22.0,1071.87,40.55,2000,1959.45,1,1,23.0,23.0,6,23.0,0.0,0,328,319,354,0,90,2.067279,0
83181952,52049882,21.0,500.0,750.0,750,0.0,0,0,26.96,0.0,0,0.0,2.0,0,48,0,707,8,1,1511.8435,0
83193473,65787929,12.0,2500.0,1500.19,5000,3147.53,1,0,22.74,376.02,54,0.0,0.0,0,0,0,63,0,90,0.0,0
83204828,43647465,40.0,150.0,137.82,300,162.18,1,0,11.06,11.06,5,0.0,0.0,0,0,0,964,0,90,0.0,0
83216332,71995538,21.0,250.0,294.56,750,447.77,1,0,82.48,90.15,14,0.0,0.0,0,0,0,208,0,90,0.0,0
83227750,72274693,14.0,1000.0,1833.26,2000,116.08,1,0,2.69,53.35,4,0.0,0.0,0,0,0,167,0,90,998.6652,0
83250605,48523275,15.0,2500.0,500.08,5000,4126.03,3,0,121.96,495.85,40,0.0,0.0,0,0,0,143,0,90,9.538502000000001,0
83262410,52563939,21.0,2000.0,111.36,2500,2327.33,1,0,0.01,61.32,0,0.0,5.0,0,684,684,724,8,81,1516.0339,0
83273849,76689310,21.0,500.0,21.88,1000,978.12,0,0,28.55,0.0,24,0.0,0.0,0,0,0,73,0,90,10.824883,0
83285065,87560407,57.0,750.0,153.45,1500,1124.11,2,0,6.36,228.8,93,0.0,0.0,0,0,0,0,0,90,0.0,0
83296513,71536670,21.0,300.0,154.17,300,139.0,1,0,24.3,63.67,4,0.0,0.0,0,0,0,189,0,90,27.801920000000003,0
